"","ID","theta1","theta2","a_sum","b_sum","c_sum","a01","a02","a03","a04","a05","a06","a07","a08","a09","a10","b01","b02","b03","b04","b05","b06","b07","b08","b09","b10","c01","c02","c03","c04","c05","c06","c07","c08","c09","c10"
"1",1,-1.67074875835472,0.699976462121272,2,4,10,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"2",2,-0.115933574746071,-0.282745531797621,2,5,6,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0
"3",3,0.8864002994688,1.81336169481751,5,7,8,0,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,1,0,1,0
"4",4,0.345137932029137,-0.223013815721818,4,5,3,1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"5",5,-0.000578577248716544,0.224511503342985,5,5,8,1,1,1,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0
"6",6,0.919296895027654,2.05128280053664,7,7,7,1,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,0,0,1,0
"7",7,-0.291075624283927,1.08940591108911,5,5,8,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1
"8",8,-0.979173459399418,-1.21197687362491,2,3,2,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"9",9,0.205489645225981,-1.39515368202915,6,3,4,1,1,1,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0
"10",10,-0.236769999074216,-0.535139176140153,4,3,4,0,1,1,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0
"11",11,1.19789797458885,0.92227389119653,7,7,6,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,1,1,0,0,0,1
"12",12,0.326770701450217,0.296445128278938,7,3,5,1,1,1,0,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1
"13",13,-0.19759475301772,0.891751267669699,5,4,8,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,1,1,1,1,1,0
"14",14,0.598564923892202,-0.406856836355541,7,6,3,1,1,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"15",15,0.334895584373912,-1.29764067070471,5,3,2,1,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"16",16,1.16074094823041,1.93428339342479,4,9,9,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1
"17",17,0.445255322802498,0.417047000063008,4,5,7,1,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0
"18",18,-1.88127096205573,-1.52500987226344,3,1,4,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
"19",19,1.27088858621231,-0.0561045305157302,7,5,4,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"20",20,-0.0571806218763973,-0.761718117690397,8,6,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"21",21,-0.814653193006572,-1.03487171928913,5,3,4,1,0,1,1,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0
"22",22,-1.23541564308446,0.857872016120803,4,5,8,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,1,1,1,0,1,1,1,1,1,0
"23",23,-1.75378339140326,-0.0233084418565557,3,2,7,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,1,1,0
"24",24,-0.649145095691415,-0.613331546632176,3,3,6,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,1,0
"25",25,-1.07376484527907,-0.00883492336149194,3,4,5,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0
"26",26,-1.17682840649627,-1.74461010449615,4,4,1,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
"27",27,0.914265489294643,0.536824237692841,4,6,4,1,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0
"28",28,0.177422154666344,0.0882278779417491,5,4,5,0,1,1,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0
"29",29,-0.27700923436718,-1.69430176650833,5,4,2,1,1,1,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
